pincode,trigger_type,gps_accuracy_radius,location_jump_velocity,cell_tower_match,platform_online_status,claim_latency_seconds,motion_detected,app_active,historical_claim_rate,device_shared,disruption_start_epoch,claim_submitted_epoch,weather_verified,is_fraud
500001,aqi,62.71998194688466,37.52476628068556,0,1,113,1,1,0.805998454556707,0,1711900800,1711915462,0,0
500001,heat,47.59932394634888,57.97494507690381,1,1,1056,0,1,0.09904033184215233,1,1711900800,1711902081,1,0
560034,platform_down,73.75295599705795,69.45516325824855,0,1,4036,0,1,0.4556491209889797,1,1711900800,1711918220,0,0
380001,heat,84.97163016568302,126.90358196467312,1,0,5966,1,0,0.4275807369730473,0,1711900800,1711916118,0,1
500001,curfew,72.47809527147164,127.68882409453977,0,1,6443,1,0,0.0731396210137586,1,1711900800,1711907297,0,1
700001,aqi,110.66871714956828,12.749018087826071,1,0,2624,1,0,0.41079699854434715,1,1711900800,1711901009,1,0
302001,platform_down,76.47808330188928,69.9572474591756,0,1,3341,1,1,0.5133779832839813,1,1711900800,1711905963,0,0
700001,aqi,105.79394337719245,106.22422137497482,1,1,973,1,0,0.06510469250491324,1,1711900800,1711919189,1,0
600001,aqi,71.6741369130032,30.902666632858118,1,0,3281,0,0,0.5098621284446674,1,1711900800,1711921317,0,1
411001,rain,41.57251012642462,97.57320281650131,0,0,847,0,1,0.9592379046834011,0,1711900800,1711924484,0,1
500001,heat,65.27872764553385,114.22047724164732,0,0,2468,0,0,0.9789143231615323,0,1711900800,1711911940,1,1
600001,aqi,13.101392689237501,86.12336148460962,0,1,5688,1,1,0.5316797785898112,1,1711900800,1711900841,0,0
500001,aqi,29.930432165807932,42.601435349865454,0,1,891,1,1,0.515096932602959,1,1711900800,1711925280,0,1
400001,curfew,92.64910447783485,120.00720151427444,1,1,3198,0,0,0.28550816641639143,1,1711900800,1711925395,0,1
110001,curfew,80.39264645007785,114.85761217764195,0,0,7039,1,1,0.9971154717121016,0,1711900800,1711897856,0,1
560001,curfew,22.48268913246178,93.05729144322488,0,0,4529,0,1,0.27422917102522604,1,1711900800,1711912809,0,1
560001,aqi,54.2477756221955,47.2768547468325,1,0,2212,0,1,0.45290130043995636,1,1711900800,1711916735,0,1
500001,platform_down,19.61308809383922,102.94652711132392,1,0,3344,1,1,0.0029340578026765263,1,1711900800,1711922724,0,1
302001,heat,103.13068919575495,41.09416759527835,1,0,2208,1,0,0.3492322909091369,1,1711900800,1711901310,0,1
380001,aqi,15.772855105251796,32.88387067336419,0,1,221,1,1,0.07144030060882389,0,1711900800,1711908414,0,0
560034,rain,79.54549462095915,66.95174029846653,0,0,1225,1,0,0.7438247703851323,1,1711900800,1711904407,0,1
302001,platform_down,74.0190001144458,129.6275792501626,0,0,890,1,1,0.5610144530299322,1,1711900800,1711913069,0,1
380001,platform_down,58.31486754068143,104.56185238643573,0,1,764,1,1,0.5721718772876565,1,1711900800,1711897506,0,1
302001,heat,35.55345085170459,94.87305517538209,1,0,5227,0,1,0.286511285899703,1,1711900800,1711906096,0,1
400001,platform_down,50.26291049918444,58.76165707021705,0,0,6694,1,1,0.8148962902529736,1,1711900800,1711918076,0,1
302001,heat,97.3477821539425,40.553501194156084,0,0,710,0,1,0.003270925331250174,1,1711900800,1711906069,0,1
560034,platform_down,92.10144541889399,111.26709920956706,1,0,2229,0,1,0.3336011791641921,1,1711900800,1711908304,0,1
560001,heat,89.44066647385297,73.8052613975325,1,1,380,0,1,0.6594974904588677,0,1711900800,1711909385,0,0
302001,curfew,90.72935937024376,105.72314364584686,1,0,1742,1,0,0.907922537416921,1,1711900800,1711905602,0,1
700001,curfew,19.834705799574678,63.40798224422722,0,1,5269,0,0,0.23461595692523307,0,1711900800,1711918078,0,0
380001,platform_down,14.594284692404502,98.01447422157304,0,0,5018,1,0,0.541100051727418,0,1711900800,1711898596,0,1
411001,platform_down,103.79533887392058,112.80633762732033,1,1,5934,1,1,0.537991420533321,1,1711900800,1711900660,0,1
380001,heat,100.94942473029994,50.88070344109994,0,1,811,1,0,0.8741743690436998,1,1711900800,1711901553,0,0
560001,heat,82.71424157342452,1.7640440875220698,0,0,6409,1,1,0.05051688955984235,1,1711900800,1711915746,0,1
302001,aqi,73.89097220191798,33.14045358271817,1,1,999,1,0,0.4244755610707073,0,1711900800,1711909821,0,0
