pincode,season,rain_disruptions_3m,aqi_disruptions_3m,heat_disruptions_3m,avg_claim_rate,platform,shift_type,imd_red_alert,worker_claim_history,flood_vulnerability,risk_label,disruption_hours
411001,summer,17,0,1,0.38916961453377935,swiggy,morning,1,0.06413525223738326,0.5,1,5.323157865169549
400001,summer,13,2,6,0.47060734706034274,zepto,morning,1,0.22626958475843517,0.8,2,6.3119759369690005
380001,monsoon,17,7,3,0.4309401655591286,blinkit,evening,0,0.7929022783296358,0.3,2,4.559202699924718
600001,winter,13,7,1,0.28214175086671595,swiggy,night,1,0.8043964469152018,0.5,2,5.460142089892656
411001,monsoon,19,3,7,0.20514640147197327,swiggy,night,0,0.2070848248877104,0.5,2,4.244060165566635
700001,monsoon,14,5,0,0.1664783071857091,zepto,morning,1,0.33591384510668953,0.65,2,6.405810867092087
110001,winter,3,7,0,0.06247828304200903,swiggy,evening,0,0.13423841909374357,0.3,0,2.1423794063942205
411001,winter,12,6,5,0.05327562360805649,blinkit,morning,0,0.07417263028492238,0.5,1,3.7166319607414886
380001,post_monsoon,7,6,4,0.34417881245682885,zepto,evening,0,0.9921717144484095,0.3,1,3.2377759566816033
600001,post_monsoon,17,3,3,0.1298972080855802,zepto,night,0,0.6555939512448392,0.5,1,4.067482869766753
400001,summer,11,8,6,0.1273308432162234,blinkit,morning,1,0.5420965091983188,0.8,2,5.353531842159913
380001,winter,13,9,5,0.49909752723889284,blinkit,morning,0,0.7654985004052995,0.3,1,3.396020314684001
380001,post_monsoon,1,5,0,0.0939629789368977,blinkit,morning,1,0.8400771596877241,0.3,1,3.8591892384456563
110001,summer,17,2,3,0.07402987974441483,swiggy,night,0,0.8067147680447275,0.3,1,3.4911481344665964
500001,summer,1,4,3,0.049342613879960306,blinkit,morning,1,0.016539449289876607,0.4,1,2.992280354282021
600001,summer,10,4,4,0.2899026725833981,zepto,night,0,0.18680789819049848,0.5,1,3.4133015606267816
560034,post_monsoon,8,4,7,0.3139319130010507,blinkit,evening,1,0.654905302117831,0.7,2,5.70553154394645
380001,winter,11,7,3,0.18261396312844097,zepto,night,1,0.3757593478039629,0.3,1,4.708550004641421
500001,monsoon,16,8,1,0.2677066677557339,zepto,evening,0,0.982482651061107,0.4,2,4.695673790954321
560034,summer,14,8,3,0.3941997654724563,swiggy,night,0,0.665404792638254,0.7,2,4.905366884531595
600001,post_monsoon,16,5,4,0.4090520841608742,blinkit,night,0,0.9565489087292065,0.5,1,4.699605585573184
560001,post_monsoon,17,5,5,0.47895603785782415,swiggy,morning,1,0.20144648164579382,0.6,2,6.440131396950756
700001,monsoon,5,8,4,0.41213399296143727,blinkit,night,1,0.8639570281150231,0.65,2,4.801004112555389
500001,monsoon,16,3,6,0.2824207183587133,blinkit,morning,1,0.32135230581522534,0.4,2,5.529045988300669
